instance,n,m,method,status,seconds_first,seconds_per_extra,seconds_total,k,max_rel_gap_vs_reference,n_capacities,n_maxflow,q,seconds_build
p4hd,40947,738609,path,ok,11.361408684002527,0.000201485599973239,11.363423540002259,2446,0.0,10,4891,1468,
p4hd,40947,738609,newton,ok,0.8055910610019055,0.6895179477776563,7.011252591000812,,0.0,10,107,,
p4hd,40947,738609,highs:dual-simplex,timeout,,,150.0,,,10,,,
p4hd,40947,738609,highs:ipm,timeout,,,150.0,,,10,,,
p4hd,40947,738609,gurobi:dual-simplex,timeout,,,150.0,,,10,,,
p4hd,40947,738609,gurobi:barrier,timeout,,,150.0,,,10,,,
p4hd,40947,738609,cplex-cli:dual-simplex,timeout,,,150.0,,,10,,,
marvin,53271,650631,path,ok,3.3352529069998127,6.191450011101551e-05,3.335872052000923,270,0.0,10,539,150,
marvin,53271,650631,newton,ok,0.8404821959993569,0.4892459503332955,5.243695748999016,,3.5931849207417383e-16,10,86,,
marvin,53271,650631,highs:dual-simplex,ok,10.82155389000036,3.995329618776547,46.77952045898928,,6.006103969207885e-14,10,,,0.29188208599953214
marvin,53271,650631,highs:ipm,ok,4.854511483004899,4.310386593666205,43.64799082600075,,5.836440015275459e-14,10,,,0.2072286790025828
marvin,53271,650631,gurobi:dual-simplex,ok,17.23701705699932,0.9451392380004917,25.743270199003746,,5.938238387634915e-14,10,,,0.7905617729993537
marvin,53271,650631,gurobi:barrier,ok,12.941283785999985,11.582898796555027,117.18737295499523,,5.802507224488974e-14,10,,,0.520664117000706
marvin,53271,650631,cplex-cli:dual-simplex,ok,5.504068043999723,2.7759277575557157,30.487417862001166,,4.0236838935456867e-11,10,,,0.8424990429994068
w23,74260,764786,path,ok,12.405039864999708,0.00027253770022070964,12.407765242001915,2428,0.0,10,4855,1258,
w23,74260,764786,newton,ok,0.9363422649985296,1.549215767554819,14.879284172991902,,0.0,10,96,,
w23,74260,764786,highs:dual-simplex,timeout,,,150.0,,,10,,,
w23,74260,764786,highs:ipm,timeout,,,150.0,,,10,,,
w23,74260,764786,gurobi:dual-simplex,timeout,,,150.0,,,10,,,
w23,74260,764786,gurobi:barrier,timeout,,,150.0,,,10,,,
w23,74260,764786,cplex-cli:dual-simplex,timeout,,,150.0,,,10,,,
zuck_large,96821,1053105,path,ok,24.998312400999566,0.00041009550004673657,25.002413356000034,3192,0.0,10,6383,3192,
zuck_large,96821,1053105,newton,ok,2.9827964379983314,3.1034147341112353,30.91352904499945,,2.238861490532223e-14,10,119,,
zuck_large,96821,1053105,highs:dual-simplex,timeout,,,150.0,,,10,,,
zuck_large,96821,1053105,highs:ipm,timeout,,,150.0,,,10,,,
zuck_large,96821,1053105,gurobi:dual-simplex,timeout,,,150.0,,,10,,,
zuck_large,96821,1053105,gurobi:barrier,timeout,,,150.0,,,10,,,
zuck_large,96821,1053105,cplex-cli:dual-simplex,timeout,,,150.0,,,10,,,
sm2,99014,96642,path,ok,2.3745287469973846,0.0002254428000014741,2.3767831749973993,1667,0.0,10,3333,1538,
sm2,99014,96642,newton,ok,0.31360979700184544,0.12653468033345738,1.452421920002962,,0.0,10,120,,
sm2,99014,96642,highs:dual-simplex,ok,0.8119585200001893,0.2164815738886116,2.760292684997694,,4.0503702202922947e-16,10,,,0.04019665699888719
sm2,99014,96642,highs:ipm,ok,1.1512130230003095,1.1130587097775586,11.168741410998337,,4.0503702202922947e-16,10,,,0.040728625001065666
sm2,99014,96642,gurobi:dual-simplex,ok,0.35873265100235585,0.09621315566700003,1.2246510520053562,,4.0503702202922947e-16,10,,,0.1316268200025661
sm2,99014,96642,gurobi:barrier,ok,0.35625336499651894,0.2010323459993136,2.1655444789903413,,4.0503702202922947e-16,10,,,0.13126478399863117
sm2,99014,96642,cplex-cli:dual-simplex,ok,1.6705281870017643,0.48380751811095657,6.024795850000373,,2.5218177156414806e-11,10,,,0.22049009800321073
mclaughlin_limit,112687,3035483,path,ok,46.49718486499842,0.0002995757000462618,46.50018062199888,1884,0.0,10,3767,1790,
mclaughlin_limit,112687,3035483,newton,ok,3.6954781460008235,4.02388907888922,39.9104798560038,,2.199762610052835e-10,10,114,,
mclaughlin_limit,112687,3035483,highs:dual-simplex,timeout,,,150.0,,,10,,,
mclaughlin_limit,112687,3035483,highs:ipm,timeout,,,150.0,,,10,,,
mclaughlin_limit,112687,3035483,gurobi:dual-simplex,timeout,,,150.0,,,10,,,
mclaughlin_limit,112687,3035483,gurobi:barrier,timeout,,,150.0,,,10,,,
mclaughlin_limit,112687,3035483,cplex-cli:dual-simplex,timeout,,,150.0,,,10,,,
